@relation 'training_kayboard-weka.filters.unsupervised.attribute.Remove-R1,4,10,12,15-16'

@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost2Dist numeric
@attribute Ghost3Dist numeric
@attribute Ghost4Dist numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2Y numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Score numeric
@attribute Action {East,North,South,Stop,West}

@data
11,8,7,5,-1,2,7,11,6,0,183,North
11,9,7,7,-1,2,8,11,6,0,182,South
11,8,7,5,-1,2,8,10,6,0,181,South
11,7,7,3,-1,2,7,10,7,0,180,West
10,7,5,1,-1,2,6,10,7,0,179,West
9,7,3,-1,-1,3,6,9,0,0,378,West
8,7,3,-1,-1,3,6,9,0,0,377,West
7,7,5,-1,-1,3,6,10,0,0,376,North
7,8,3,-1,-1,3,5,9,0,0,375,East
8,8,3,-1,-1,2,5,10,0,0,374,East
9,8,2,-1,-1,2,4,10,0,0,373,North
9,9,-1,-1,-1,2,4,0,0,0,572,North
9,10,-1,-1,-1,2,5,0,0,0,571,South
9,9,-1,-1,-1,3,5,0,0,0,570,South
9,8,-1,-1,-1,2,5,0,0,0,569,West
8,8,-1,-1,-1,1,5,0,0,0,568,West
7,8,-1,-1,-1,1,6,0,0,0,567,West
6,8,-1,-1,-1,1,7,0,0,0,566,West
5,8,-1,-1,-1,1,8,0,0,0,565,West
4,8,-1,-1,-1,2,8,0,0,0,564,West
3,8,-1,-1,-1,2,9,0,0,0,563,West
2,8,-1,-1,-1,2,9,0,0,0,562,West
1,8,-1,-1,-1,3,9,0,0,0,561,North
1,9,-1,-1,-1,3,9,0,0,0,560,Stop
1,9,-1,-1,-1,2,9,0,0,0,559,East
12,10,9,5,3,5,6,12,6,13,0,Stop
12,10,8,6,4,6,6,12,5,13,-1,Stop
12,10,7,7,4,6,7,11,5,13,-2,North
12,11,6,9,4,6,8,11,5,13,-3,North
12,12,6,11,4,6,8,12,4,14,-4,North
12,13,8,12,4,5,8,11,4,15,-5,East
13,13,8,12,3,5,9,11,4,15,-6,East
14,13,8,10,1,5,9,11,5,15,-7,East
15,13,10,9,-1,5,8,10,5,0,192,North
15,14,11,11,-1,4,8,10,4,0,191,South
15,13,10,10,-1,4,9,10,4,0,190,South
15,12,9,9,-1,4,8,10,4,0,189,South
15,11,7,7,-1,3,8,11,4,0,188,South
15,10,7,7,-1,2,8,10,4,0,187,South
15,9,9,5,-1,1,8,11,4,0,186,South
15,8,9,4,-1,1,7,10,4,0,185,South
15,7,11,4,-1,1,8,11,4,0,184,South
15,6,12,4,-1,2,8,11,4,0,183,South
15,5,12,3,-1,2,9,11,4,0,182,South
15,4,12,2,-1,1,9,10,4,0,181,West
14,4,10,-1,-1,1,9,10,0,0,380,West
13,4,8,-1,-1,2,9,10,0,0,379,West
12,4,8,-1,-1,3,9,10,0,0,378,North
12,5,8,-1,-1,3,9,10,0,0,377,North
12,6,6,-1,-1,3,9,9,0,0,376,North
12,7,5,-1,-1,3,8,9,0,0,375,North
12,8,4,-1,-1,4,8,9,0,0,374,West
11,8,2,-1,-1,3,8,8,0,0,373,West
10,8,-1,-1,-1,3,7,0,0,0,572,North
10,9,-1,-1,-1,2,7,0,0,0,571,West
9,9,-1,-1,-1,1,7,0,0,0,570,West
8,9,-1,-1,-1,1,8,0,0,0,569,West
7,9,-1,-1,-1,1,7,0,0,0,568,West
