NumOfTicks,PacmanX,PacmanY,Ghost1Dist,Ghost2Dist,Ghost3Dist,Ghost4Dist,Ghost1X,Ghost1Y,Ghost2X,Ghost2Y,Ghost3X,Ghost3Y,Ghost4X,Ghost4Y,PacDots,Score,Action,NextScore
15,5,11,5,-1,13,-1,5,6,0,0,13,6,0,0,1,386,Stop,0
1,14,3,16,13,12,15,10,15,13,15,14,15,17,15,0,0,East,-1
2,15,3,17,14,13,14,10,15,13,15,14,15,17,15,0,-1,North,-2
3,15,4,16,13,12,13,10,15,13,15,14,15,17,15,0,-2,North,-3
4,15,5,15,12,11,12,10,15,13,15,14,15,17,15,0,-3,East,-4
5,16,5,16,13,12,11,10,15,13,15,14,15,17,15,0,-4,East,-5
6,17,5,17,14,13,10,10,15,13,15,14,15,17,15,0,-5,East,-6
7,18,5,18,15,14,11,10,15,13,15,14,15,17,15,0,-6,North,-7
8,18,6,17,14,13,10,10,15,13,15,14,15,17,15,0,-7,North,-8
9,18,7,16,13,12,9,10,15,13,15,14,15,17,15,0,-8,North,-9
10,18,8,15,12,11,8,10,15,13,15,14,15,17,15,0,-9,East,-10
11,19,8,16,13,12,9,10,15,13,15,14,15,17,15,0,-10,East,-11
12,20,8,17,14,13,10,10,15,13,15,14,15,17,15,0,-11,East,-12
13,21,8,18,15,14,11,10,15,13,15,14,15,17,15,0,-12,North,-13
14,21,9,17,14,13,10,10,15,13,15,14,15,17,15,0,-13,North,-14
15,21,10,16,13,12,9,10,15,13,15,14,15,17,15,0,-14,North,-15
16,21,11,15,12,11,8,10,15,13,15,14,15,17,15,0,-15,West,-16
17,20,11,14,11,10,7,10,15,13,15,14,15,17,15,0,-16,West,-17
18,19,11,13,10,9,6,10,15,13,15,14,15,17,15,0,-17,North,-18
19,19,12,12,9,8,5,10,15,13,15,14,15,17,15,0,-18,North,-19
20,19,13,11,8,7,4,10,15,13,15,14,15,17,15,0,-19,North,-20
21,19,14,10,7,6,3,10,15,13,15,14,15,17,15,0,-20,North,-21
22,19,15,9,6,5,2,10,15,13,15,14,15,17,15,0,-21,North,-22
23,19,16,10,7,6,3,10,15,13,15,14,15,17,15,0,-22,North,-23
24,19,17,11,8,7,4,10,15,13,15,14,15,17,15,0,-23,West,-24
25,18,17,10,7,6,3,10,15,13,15,14,15,17,15,0,-24,West,-25
26,17,17,9,6,5,2,10,15,13,15,14,15,17,15,0,-25,West,-26
27,16,17,8,5,4,3,10,15,13,15,14,15,17,15,0,-26,West,-27
28,15,17,7,4,3,4,10,15,13,15,14,15,17,15,0,-27,West,-28
29,14,17,6,3,2,5,10,15,13,15,14,15,17,15,0,-28,South,-29
30,14,16,5,2,1,4,10,15,13,15,14,15,17,15,0,-29,South,170
31,14,15,4,1,-1,3,10,15,13,15,0,0,17,15,0,170,West,369
32,13,15,3,-1,-1,4,10,15,0,0,0,0,17,15,0,369,West,368
33,12,15,2,-1,-1,5,10,15,0,0,0,0,17,15,0,368,West,367
34,11,15,1,-1,-1,6,10,15,0,0,0,0,17,15,0,367,West,566
35,10,15,-1,-1,-1,7,0,0,0,0,0,0,17,15,0,566,East,565
36,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,565,Stop,564
37,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,564,Stop,563
38,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,563,Stop,562
39,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,562,Stop,561
40,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,561,Stop,560
41,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,560,Stop,559
42,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,559,Stop,558
43,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,558,Stop,557
44,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,557,Stop,556
45,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,556,Stop,555
46,11,15,-1,-1,-1,6,0,0,0,0,0,0,17,15,0,555,Stop,0
