@relation training_kayboard

@attribute NumOfTicks numeric
@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost1Dist numeric
@attribute Ghost2Dist numeric
@attribute Ghost3Dist numeric
@attribute Ghost4Dist numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute PacDots numeric
@attribute Score numeric
@attribute Action {'East','North','South','Stop','West'}
@attribute NextScore numeric
@data
76,21,15,-1,-1,-1,6,0,0,0,0,0,0,25,13,0,525,'East',524
77,22,15,-1,-1,-1,5,0,0,0,0,0,0,25,13,0,524,'East',523
78,23,15,-1,-1,-1,4,0,0,0,0,0,0,25,13,0,523,'East',522
79,24,15,-1,-1,-1,3,0,0,0,0,0,0,25,13,0,522,'East',521
80,25,15,-1,-1,-1,2,0,0,0,0,0,0,25,13,0,521,'South',520
81,25,14,-1,-1,-1,1,0,0,0,0,0,0,25,13,0,520,'South',0
1,1,18,13,25,28,29,5,9,11,3,17,6,25,13,0,0,'Stop',-1
2,1,18,12,25,29,29,5,10,11,3,17,5,25,13,0,-1,'South',-2
3,1,17,11,23,28,28,5,10,10,3,17,5,25,13,0,-2,'South',-3
4,1,16,11,23,26,27,6,10,11,3,17,6,25,13,0,-3,'South',-4
5,1,15,9,21,25,25,5,10,10,3,17,6,25,13,0,-4,'South',-5
6,1,14,7,19,25,24,4,10,10,4,17,5,25,14,0,-5,'South',-6
7,1,13,7,17,25,24,5,10,9,4,18,5,25,14,0,-6,'South',-7
8,1,12,5,16,24,26,4,10,9,4,18,5,24,14,0,-7,'South',-8
9,1,11,5,14,24,26,5,10,8,4,18,4,25,14,0,-8,'South',-9
10,1,10,5,12,23,28,6,10,8,5,18,4,24,14,0,-9,'South',-10
11,1,9,6,10,22,28,6,10,8,6,18,4,24,15,0,-10,'South',-11
12,1,8,6,8,20,30,5,10,7,6,18,5,24,14,0,-11,'South',-12
13,1,7,6,8,18,30,5,9,8,6,17,5,25,14,0,-12,'South',-13
14,1,6,6,8,16,32,5,8,8,5,17,6,24,14,0,-13,'East',-14
15,2,6,4,7,15,32,4,8,8,5,17,6,24,15,0,-14,'East',-15
16,3,6,3,7,13,30,4,8,8,4,16,6,25,15,0,-15,'North',-16
17,3,7,2,9,13,30,4,8,9,4,15,6,24,15,0,-16,'East',-17
18,4,7,2,7,11,28,4,9,8,4,14,6,24,16,0,-17,'North',-18
