@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Remove-V-R2-3,8-9,11,13,16-18'

@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2Y numeric
@attribute Ghost3Y numeric
@attribute PacDots numeric
@attribute Score numeric
@attribute Action {East,North,South,West}

@data
12,10,5,6,12,6,1,0,East
12,10,5,6,12,6,1,0,East
1,18,5,9,3,6,0,0,South
1,18,5,9,3,6,0,0,South
1,18,5,9,3,6,0,0,South
1,18,5,9,3,6,0,0,South
4,12,9,3,7,12,121,0,East
4,12,9,3,7,12,121,0,East
4,12,9,3,7,12,121,0,East
4,12,9,3,7,12,121,0,East
14,3,10,15,15,15,0,0,East
14,3,10,15,15,15,0,0,East
14,3,10,15,15,15,0,0,East
14,3,10,15,15,15,0,0,East
1,18,5,9,3,6,0,0,South
1,18,5,9,3,6,0,0,South
1,18,5,9,3,6,0,0,South
1,18,5,9,3,6,0,0,South
1,18,5,9,3,6,0,0,South
5,11,0,0,12,0,1,576,North
6,10,0,0,11,0,1,576,North
7,7,7,6,0,0,1,572,South
6,11,0,0,11,0,1,569,West
25,14,0,0,0,0,0,524,South
17,5,0,0,0,4,0,521,South
24,15,0,0,0,0,0,526,North
21,15,0,0,0,0,0,551,East
22,10,0,0,0,0,103,2358,South
23,10,0,0,0,0,102,2465,North
19,9,0,0,0,10,98,2862,East
20,10,0,0,0,12,100,2662,North
16,15,0,0,0,0,0,560,East
12,15,11,15,0,0,0,368,West
12,20,0,0,20,0,0,557,West
12,17,0,0,0,19,0,564,North
25,6,0,0,0,0,0,540,North
27,7,0,0,0,0,0,541,West
28,3,0,0,0,0,0,542,West
23,6,0,0,0,0,0,546,South
26,4,0,0,0,0,0,527,East
6,12,9,3,7,12,121,-2,East
6,12,9,3,9,11,121,-2,East
6,12,10,4,8,12,121,-2,East
6,12,8,4,7,12,121,-2,East
10,6,0,0,4,6,0,169,East
13,15,0,0,20,15,0,169,West
9,6,0,0,3,5,0,170,East
8,9,0,0,11,4,0,170,North
14,15,0,0,20,15,0,170,West
11,5,0,0,3,6,0,171,South
8,6,0,0,4,5,0,171,East
8,8,0,0,10,4,0,171,North
14,16,10,15,15,15,0,-29,South
13,17,12,15,16,15,0,-29,South
14,16,14,15,20,15,0,-29,South
13,17,13,16,15,18,0,-29,South
